id,video_id,author,comment,published_at,like_count
1596,Vn4d-Go7x0U,@zimarezetewahidotube8862,ቃለ ህይወት ያሰማልን   ከቻሉ የደብረ ታቦር ምልጣን ዝማሜ ያውጡልን,2022-02-17T04:11:54Z,0
955,sji9lG08gIw,@heywet,"Oromiyaa betekehenet is must!👌
This is Amara Orthodox not for us❌❌❌",2022-02-12T17:56:03Z,0
956,qUzbQIG7Fqc,@ሻሸመኔ,ቃለ  ህይወት  ያሰማልን,2022-02-10T17:45:04Z,0
957,aw_szDStS9E,@miskerengida5790,yeneta esayyas,2022-02-06T22:24:03Z,0
958,aw_szDStS9E,@goodlive1573,🙏 Praise be to God🙏 . Amen.,2022-02-06T17:24:46Z,0
959,aw_szDStS9E,@goodlive1573,Amen Amen Amen.,2022-02-06T17:23:12Z,0
960,aw_szDStS9E,@goodlive1573,Thanks for the mighty Lord 💗 God 💗 Amen.,2022-02-06T17:23:03Z,0
961,aw_szDStS9E,@goodlive1573,Amen.,2022-02-06T17:22:45Z,0
962,aw_szDStS9E,@goodlive1573,EgiziAbiher yimesigen.,2022-02-06T17:22:35Z,0
1887,yiS7SpT9pVc,@buzeyeayele3853,Amen Amen Amen,2022-02-05T16:39:32Z,3
967,-eIMy2_asEQ,@marquescameron2459,Thanks for sharing,2022-02-03T03:06:55Z,0
1339,qMf7eGhbqLM,@trueethio9206,የእሁድ፡ቅዳሴ፡የለም፡እንዼ?,2022-01-30T13:41:02Z,0
963,P-FOn1QFcxo,@goodlive1573,Amen.,2022-01-30T02:09:38Z,0
964,P-FOn1QFcxo,@goodlive1573,Kale-hiyiwot Yasemalin.,2022-01-30T02:09:31Z,0
965,P-FOn1QFcxo,@goodlive1573,Amen Amen Amen.,2022-01-30T02:09:18Z,0
966,P-FOn1QFcxo,@goodlive1573,EgziAbiher yimesigen.,2022-01-30T02:09:03Z,0
1110,noGzUyBsLUI,@asterzewdie3160,Amen Amen Amen 🙏✝️🙏✝️🙏✝️🙏✝️,2022-01-29T15:47:04Z,0
1728,qoYmwm4Ty0U,@wishub,4:14,2022-01-29T01:13:13Z,2
1729,qoYmwm4Ty0U,@solomonmolla6416,kale hiyiwotn yasemaln like tebebt,2022-01-27T15:41:37Z,0
2180,P55sE2Blv20,@tesfaneshdejene8981,ቃለ ህይወት ያሰማልን,2022-01-27T07:05:41Z,1
1348,p1SMBQX4_M4,@robelmulugeta813,Hi,2022-01-27T01:34:15Z,0
1730,qoYmwm4Ty0U,@mezmurhawaz9600,ሊቁ ወንድማችን አምላከ ሊቃውንት በእድሜ በጤና በመልካም አገልግሎት ይጠብቅልን,2022-01-25T21:07:31Z,1
1731,qoYmwm4Ty0U,@wamanuelwmikael3578,የመላእክት መዝሙር ያሰሞት,2022-01-24T13:52:14Z,1
1341,F4XXzOoklOY,@ishmlaldevontrious7914,1:13:32 - 1:19:54 {English Sermon},2022-01-19T15:07:22Z,0
970,m7-AW1Ou66g,@goodlive1573,EgiziAbiher yimesigen.,2022-01-16T20:33:46Z,0
971,m7-AW1Ou66g,@goodlive1573,Thanks God bless you and your family.,2022-01-16T17:42:17Z,1
972,m7-AW1Ou66g,@goodlive1573,EnikuAn Abiro Aderesen EgiziAbiher yimesigen Amen,2022-01-16T17:42:06Z,1
973,m7-AW1Ou66g,@goodlive1573,Amen,2022-01-16T17:41:54Z,1
974,m7-AW1Ou66g,@goodlive1573,Praise be to God,2022-01-16T17:41:47Z,1
975,m7-AW1Ou66g,@goodlive1573,Amen Amen Amen,2022-01-16T17:41:37Z,1
976,m7-AW1Ou66g,@goodlive1573,Thanks for the mighty Lord 💗 God 💗 Amen,2022-01-16T17:41:30Z,1
977,m7-AW1Ou66g,@goodlive1573,EgiziAbiher yimesigen,2022-01-16T17:41:20Z,1
978,YI7sb3--hXA,@goodlive1573,Amen Amen Amen.,2022-01-15T02:09:54Z,0
979,YI7sb3--hXA,@goodlive1573,Thanks for the mighty Lord 💗 God 💗.,2022-01-15T02:09:46Z,0
980,YI7sb3--hXA,@goodlive1573,Kale--Hiyiwot Yasemalin Aba,2022-01-15T02:09:28Z,0
981,YI7sb3--hXA,@goodlive1573,Praise be to God.,2022-01-15T02:09:13Z,0
982,YI7sb3--hXA,@goodlive1573,Amen,2022-01-15T02:09:03Z,0
983,YI7sb3--hXA,@goodlive1573,EnikuAn Abiro Aderesen.,2022-01-15T02:08:57Z,0
984,YI7sb3--hXA,@goodlive1573,EgiziAbiher yimesigen.,2022-01-15T02:08:49Z,0
1352,AfFGY8zu1m4,@bayushtube7706,ቃለ ህይዎት ያሠማልን,2022-01-14T23:04:39Z,0
1353,AfFGY8zu1m4,@bayushtube7706,ይፍቱን አባታችን,2022-01-14T23:03:57Z,0
1354,AfFGY8zu1m4,@bayushtube7706,አሜን ፫ 🤲,2022-01-14T23:03:45Z,0
992,weuuCnr-4Gg,@marquescameron2459,Thanks for sharing,2022-01-10T02:08:30Z,0
985,R-aw6EGPkh0,@goodlive1573,Amen,2022-01-09T17:49:59Z,0
986,R-aw6EGPkh0,@goodlive1573,EnikuAn Abiro Aderesen EgiziAbiher yimesigen,2022-01-09T17:49:52Z,0
987,R-aw6EGPkh0,@goodlive1573,Amen Amen Amen,2022-01-09T17:49:36Z,0
988,R-aw6EGPkh0,@goodlive1573,Thanks for the mighty Lord 💗 God 💗 Amen,2022-01-09T17:49:30Z,0
989,R-aw6EGPkh0,@goodlive1573,EgiziAbiher yimesigen,2022-01-09T17:49:19Z,0
991,qts_u2qdXto,@emihaile1626,ቤዛኩሉ አለም ዬም ተወልደ,2022-01-07T23:06:41Z,1
1888,yiS7SpT9pVc,@ዳዊተ,5:01,2022-01-06T19:24:48Z,2
2051,IJJu7-COnJc,@a.a9298,"ኣረ በእግዚኣብሄር ዶክተር ዘበነ ተው፡ በጣም ተሳስተሃል። please make due research on this issue you misrepresenting consistently. How difficult is it to find out what “saint” -> “Santa” mean ? or Saint Nicholas, Saint Nick ??  If you want to counter argue against the sainthood of Saint Nicholas, go ahead let’s see how far you go. Are they exaggerated and taken out of context in the US ? Yes ! Otherwise your reference re: Christmas tree, saint, santa….are all wrong",2022-01-06T17:58:26Z,0
